Sector no,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector name,Judiciary & Public Safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Districts,Number of Road Accidental Death per 1 Lakh Population,Conviction Rate in Cases to Crimes against Women,Conviction Rate in Cases to Crimes against Children,"Conviction Rate in Cases  Registered under SC/ST Act, 1989",Ratio of Police Personnel Available with Population,Proportion of Women Police Personnel,Implementation of Fast Track Special Courts (FTSCs) for Expeditious Disposal of Rape and POSCO Act Cases,Conviction Rate,Disposal of Court Cases - Consumer Court,Percentage of Disposal of ACB Enquiries with Timeline,Percentage Disposal of Vishaka Complaints,"No. of Deaths Attributed to Disasters (Floods, Severe Droughts, etc.) per 10,000 Population","Rate of Crime against Women per 1,00,000 Female Population",,,,,,,,,,,,,,,JPS Score,Rank
Ahmednagar,8.959,0.4,0.81,0.617,0.525,1.966,0.427,3.772,8.7,1.179,0,4.417,0.72,,,,,,,,,,,,,,,32.49,36
Akola,12.536,2.596,5,1.608,1.645,1.188,7.5,14.674,8.739,4.125,7.5,3.576,1.279,,,,,,,,,,,,,,,71.967,1
Amravati,8.312,1.127,0.607,1.627,2.005,3.34,,11.058,10.025,3.575,8.125,2.188,0.489,,,,,,,,,,,,,,,52.479,12
Chhatrapati Sambhaji Nagar,9.46,0.644,0.811,0.608,1.98,1.725,2.419,1.934,10,0.724,5.625,4.028,1.106,,,,,,,,,,,,,,,41.063,27
Beed,11.923,0.085,0.904,0.757,0.92,2.074,,0,10.302,1.596,8.125,3.549,0.985,,,,,,,,,,,,,,,41.22,26
Bhandara,7.485,4.12,2.658,2.917,1.733,2.266,1.648,8.928,9.695,5.893,6.563,1.907,2.899,,,,,,,,,,,,,,,58.711,4
Buldhana,14.05,0.436,1.233,1.109,1.353,1.95,,6.319,9.864,0,8.125,3.668,1.998,,,,,,,,,,,,,,,50.103,14
Chandrapur,8.079,1.765,1.861,4.063,1.454,2.732,0.692,10.913,7.782,2.578,7.5,2.29,1.485,,,,,,,,,,,,,,,53.194,10
Dhule,10.432,0.402,0.138,0,0.96,0.525,,2.773,9.403,0,4.063,5.625,2.342,,,,,,,,,,,,,,,36.664,34
Gadchiroli,13.493,1.984,0.51,0,8.125,3.095,,1.338,10.087,0,5.417,0,4.124,,,,,,,,,,,,,,,48.172,17
Gondia,15.932,6.364,3.93,0,2.613,3.153,,5.559,10.475,3.482,,3.547,3.318,,,,,,,,,,,,,,,58.372,5
Hingoli,12.721,0.671,2.699,0.592,1.231,1.001,,6.926,7.789,0,,3.48,2.695,,,,,,,,,,,,,,,39.805,29
Jalgaon,14.279,0.942,1.024,1.383,0.871,0,,2.758,8.735,0,8.125,4.376,2.606,,,,,,,,,,,,,,,45.1,20
Jalna,11.338,2.014,0,0,0.901,1.544,0.103,3.799,10.049,0,,3.645,0.002,,,,,,,,,,,,,,,33.395,35
Kolhapur,10.575,0.192,0.481,0.461,0.684,3.005,2.1,2.576,7.887,3.929,7.5,5,2.637,,,,,,,,,,,,,,,47.025,19
Latur,12.45,0.277,1.006,0,0.797,0.795,1.293,2.607,9.452,3.192,,3.937,2.56,,,,,,,,,,,,,,,38.365,33
Mumbai,0,0.791,0.941,0.729,4.499,2.595,0.802,9.566,7.938,0,5.7,4.922,0.426,,,,,,,,,,,,,,,38.909,31
Mumbai Suburban,,7.098,4.752,0,0,8,,5.701,9.514,,10.5,7.222,8,,,,,,,,,,,,,,,60.788,3
Nagpur,5.267,1.569,1.509,0.576,3.239,3.799,0.947,8.903,8.495,0,7,1.041,1.775,,,,,,,,,,,,,,,44.119,23
Nanded,13.482,0.742,1.349,1.538,1.122,1.494,2.674,6.028,6.234,0,7.5,2.189,2.781,,,,,,,,,,,,,,,47.132,18
Nandurbar,16.364,0.371,0.415,0,0.939,1.424,,7.05,0,8.864,,4.514,4.232,,,,,,,,,,,,,,,44.172,22
Nashik,10.7,0.544,0.754,0,1.268,1.644,,6.044,7.51,0,8.125,4.393,2.364,,,,,,,,,,,,,,,43.345,24
Dharashiv,7.145,0.185,0.173,0.529,1.295,2.446,2.488,5.666,9.926,1.788,,4.903,2.732,,,,,,,,,,,,,,,39.275,30
Palghar,14.814,1.152,0.393,0,0.451,4.325,,13.451,,0,9.091,5.831,5.049,,,,,,,,,,,,,,,54.557,8
Parbhani,15.154,0,0.171,0,1.083,0.869,,0.173,7.811,0,6.094,4.665,2.749,,,,,,,,,,,,,,,38.769,32
Pune,8.205,0.256,0.469,0.409,2.234,4.357,2.437,0.986,8.507,1.179,7.322,4.654,0,,,,,,,,,,,,,,,41.016,28
Raigad,11.761,2.254,1.384,3.217,1.391,2.798,0,15,8.049,0,0,4.41,3.102,,,,,,,,,,,,,,,53.365,9
Ratnagiri,13.255,1.683,1.464,1.295,1.204,5.258,1.929,6.635,10.425,0,,5.439,4.384,,,,,,,,,,,,,,,52.972,11
Sangli,11.364,0.873,0.857,0,1.044,2.77,0.549,4.76,9.678,5.156,7.5,4.347,2.449,,,,,,,,,,,,,,,51.348,13
Satara,10.395,1.363,1.625,1.498,1.014,3.937,3.348,4.848,8.293,2.063,7.5,0.583,2.164,,,,,,,,,,,,,,,48.63,15
Sindhudurg,14.568,1.99,3.298,2.237,1.789,3.699,,6.165,10.086,0,8.125,5.625,3.899,,,,,,,,,,,,,,,61.481,2
Solapur,12.224,0.343,0.487,0.714,1.391,2.064,,3.983,8.709,6.588,,6.056,2.391,,,,,,,,,,,,,,,44.949,21
Thane,13.213,0.337,0.493,0.302,2.901,3.527,,2.83,7.781,3.118,8.125,5.074,0.758,,,,,,,,,,,,,,,48.459,16
Wardha,7.218,3.784,4.539,5,1.615,2.238,0.778,10.876,9.637,0,7.5,0.391,1.61,,,,,,,,,,,,,,,55.185,6
Washim,12.252,0.485,1.129,0,1.613,1.331,,13.404,9.927,2.979,8.125,2.627,1.231,,,,,,,,,,,,,,,55.103,7
Yavatmal,6.172,1.081,0.518,0,0.966,2.425,1.211,12.834,6.076,0,7.5,1.566,1.361,,,,,,,,,,,,,,,41.711,25
