sector name,indicator Name,weightage
Commerce and Industry,Comparative Growth of Udyam Registration of MSMEs Within Last Quarter,10
Commerce and Industry,"Factories in Operation per 10,00,000 Population",12.5
Commerce and Industry,Growth in Exports,12.5
Commerce and Industry,Increase in Per capita Industrial Consumption of Electricity ,15
Commerce and Industry,Per capita Net Value Added from Registered Industries,15
Commerce and Industry,Percentage of Industries Having Pollution Index 41 and Above  ,10
Commerce and Industry,Percentage of in-Time Filling of GST Return (GSTR-3B),10
Commerce and Industry,Start-up Enviornment: No of Incubators,7.5
Commerce and Industry,Start-up Enviornment: No of Startups,7.5
