intent,question
q10,"What are the regulations regarding the use of pasturage according to the Maharashtra Land Revenue Code, 1966?"
q11,How does the Code address the recovering value of natural products that have been unauthorizedly removed from certain lands?
q12,What rights do individuals have to trees in their holdings as outlined in the Code?
q13,"How are trees and forests vested in the Government according to the Maharashtra Land Revenue Code, 1966?"
q14,"What is the procedure for the regulation of cutting and supply of wood, etc., as stated in the Code?"
q15,What are the classes of persons holding land according to the Code?
q16,How does the Code address the occupation of unalienated land granted under its provisions?
q17,"What conditions must be met for unoccupied land to be granted according to the Maharashtra Land Revenue Code, 1966?"
q18,What is the temporary right to alluvial lands of small extent as outlined in the Code?
q19,What penalties are in place for using land without permission for non-agricultural purposes according to the Code?
